image_name,image_ptah,summery
2485_1627_0.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/xview/processed/split/train/images/2485_1627_0.png,A city with buildings located at the bottom left of a cloudy scene.
2507_1627_2100.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/xview/processed/split/train/images/2507_1627_2100.png,"Aerial view of industrial buildings in a foggy area, partially obscured by mist, located at the top-left."
769_1400_700.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/xview/processed/split/train/images/769_1400_700.png,"A dry riverbed with intricate erosion patterns, located near an urban area with buildings, in the bottom left part of the scene."
538_700_700.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/xview/processed/split/train/images/538_700_700.png,"A city with buildings located at the bottom left, surrounded by a forest with a forest fire causing smoke and a misty landscape."
2541_1400_700.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/xview/processed/split/train/images/2541_1400_700.png,A coastal city with buildings and boats in a starry night sky.
2315_1400_2675.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/xview/processed/split/train/images/2315_1400_2675.png,A parking lot with two cars is located near a dense forest at the bottom left.
2591_1939_1400.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/xview/processed/split/train/images/2591_1939_1400.png,"A railway station and nearby buildings, including a large warehouse-like structure, are located in a city area with train tracks, roads, and other buildings."
2032_1400_0.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/xview/processed/split/train/images/2032_1400_0.png,"An industrial or commercial facility with several buildings, including a sports field or court, surrounded by trees and greenery, located in a city or urban area."
1397_2100_2100.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/xview/processed/split/train/images/1397_2100_2100.png,"A densely populated urban area with a mix of residential and industrial buildings, featuring narrow streets, rooftops in various colors, and a large open space with a few vehicles, located top-left."
617_700_2100.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/xview/processed/split/train/images/617_700_2100.png,"Aerial view of a rugged, arid landscape with a winding dirt road and two large dump-trucks at the right side, near a mining or construction site."
509_0_2501.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/xview/processed/split/train/images/509_0_2501.png,"An industrial area with warehouses, parking lots, and nearby residential buildings is located in a region with urban development, including a city or urban area at the top left. The area also includes open fields."
