image_name,image_ptah,summery
P2332_0_0.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P2332_0_0.png,"A dense residential area with a grid layout of buildings is visible in the satellite image, located at the bottom right of the scene."
P1843_348_0.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P1843_348_0.png,"A commercial area with a red-roofed building and a smaller structure, along with several trucks parked in designated spots, is located in an urban area with multiple buildings."
P1414_2800_1400.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P1414_2800_1400.png,"An airport terminal with multiple airplanes parked at gates and surrounding runways, including two Boeing 747s at the bottom."
P2728_1400_0.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P2728_1400_0.png,"An industrial area with warehouses, shipping containers, and a road network, featuring green spaces and water tanks, is located in the center of the scene."
P2467_0_1400.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P2467_0_1400.png,"An aerial view of a mixed-use area with industrial buildings, a large open field, and a parking lot with vehicles, located in a top-left urban landscape with green spaces interspersed."
P1307_700_2800.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P1307_700_2800.png,"A rural area with agricultural fields, roads, and waterways, featuring buildings located close to each other at the top right."
P1161_5827_5466.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P1161_5827_5466.png,"A satellite view of an airport runway and taxiway with adjacent grassy areas, and two roundabouts located at the top left corner of the scene."
P0258_275_86.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P0258_275_86.png,"An airport tarmac with multiple small aircraft parked and taxiing on runways, including four gray and four white airplanes."
P0020_700_1400.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P0020_700_1400.png,"A suburban neighborhood with houses, driveways, streets, and green spaces, including trees, is visible in the satellite image, with buildings located close to each other at the top left corner, accompanied by trees at the bottom left and center, and situated near trees at the bottom right."
P1521_2100_2800.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P1521_2100_2800.png,"A suburban neighborhood with winding roads and a park is visible, with nearby construction activity and a cluster of buildings at the bottom left, indicating a city or urban area."
P1724_2800_3200.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P1724_2800_3200.png,Aerial view of agricultural fields with grid patterns and buildings in a city or urban area located at the bottom left.
P1387_700_3500.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P1387_700_3500.png,"A river winds through lush greenery, with motorboats of various colors anchored in the center."
P1105_0_0.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P1105_0_0.png,"A tennis complex with eight courts is located near the center of the image, surrounded by parking and green spaces."
P1600_0_2100.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P1600_0_2100.png,"A forest with winding paths is located near a city or urban area with buildings, as indicated by satellite imagery."
P1972_1779_700.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P1972_1779_700.png,An aerial view of an airport tarmac with two silver large A330 airplanes and a small Boeing 747 parked at the top. The intricate layout of runways and taxiways is visible.
P1743_700_0.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P1743_700_0.png,"A central athletic field surrounded by buildings and greenery is located within an urban area, with some buildings visible at the bottom left of the scene."
P0038_1400_1755.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P0038_1400_1755.png,"An airport with two parked vehicles on the central tarmac, surrounded by a network of runways, taxiways, and aircraft parking areas."
P1481_1400_2134.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P1481_1400_2134.png,"A Boeing 777 and a white large airplane are parked on an airport apron, with ground support equipment nearby, and an organized layout of gates and runways visible at the center of the terminal."
P0158_700_700.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P0158_700_700.png,A sports complex with multiple soccer fields and buildings is located in an urban area.
P0083_700_4495.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P0083_700_4495.png,"A rural area with a road intersection, small industrial or farm structures, and a nearby urban area with buildings, located at the bottom center of the scene."
P1142_4111_0.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P1142_4111_0.png,"A city area with buildings and a circular pattern of light and shadow on a tiled floor, possibly caused by sunlight filtering through blinds or a similar structure."
P1464_3500_3016.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P1464_3500_3016.png,"A densely built urban area with rows of buildings and narrow streets, including industrial buildings, is visible in the satellite image, located at the bottom center of the scene."
P2377_1208_700.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P2377_1208_700.png,"A large complex of buildings, part of an urban area, is located at the top left corner of a campus surrounded by greenery and water."
P2164_1845_2800.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P2164_1845_2800.png,"Aerial view of a city with two bridges spanning a water body, surrounded by vegetation and water management systems, including canals and a small structure near a road."
P0436_37_700.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P0436_37_700.png,"A serene lakeside scene with docks and houses surrounded by lush greenery. Two teal small vehicles are parked at buildings at the top right, a black vehicle is parked at a building nearby, and a white small vehicle is parked at a building at the top left."
P1653_700_1400.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P1653_700_1400.png,"Aerial view of a suburban neighborhood with streets and houses, part of an urban area with high human activity and development."
P1662_0_0.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P1662_0_0.png,"A city with buildings located at the top of the scene, with a small white dot in the center."
P2548_700_1362.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P2548_700_1362.png,Agricultural fields with varying crops and a road intersect a city or urban area with buildings located at the bottom right.
P2671_2100_0.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P2671_2100_0.png,"A densely populated urban area with a railway line running vertically through the center, surrounded by a mix of residential and commercial buildings and streets. The scene is located in a suburban area."
P1299_2800_3200.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P1299_2800_3200.png,A network of fish ponds and agricultural fields surround a cluster of buildings in the top right part of the scene.
P1457_2800_4200.png,/home/rishabh.mondal/Brick-Kilns-project/ijcai_2025_kilns/data/iclr_2026_processed_data/final_data/dota/processed/train/images/P1457_2800_4200.png,"A sports complex with a pool, field, and surrounding infrastructure is located near a small water body and industrial structures in an urban area."
